name_l;name_r;gender_l;gender_r;birth_year_l;birth_year_r;death_year_l;death_year_r;level;pk_l;pk_r;l_equals_r;chosen_one_pk;l_or_r;please_import;remarks
jean juvenel;jean juvenel;Male;Male;1643;1643;1675;1675;0;15155;15156;non;;none;non;données pauvres ou incohérentes
? delort;? delort;Male;Male;1641;1641;1641;1641;0;20092;20093;non;;none;oui;prénom inconnu
pietro duodo;pietro duodo;Male;Male;1554;1554;1610;1610;0;2886;49782;non;;none;oui;doute
jean-jacques dobler;jean-jacques dobler;Male;Male;1749;1749;1838;1838;0;13313;22099;oui;13313;left;oui;Peu d’informations sur 22099, mais cela semble correspondre
francesco roncalli parolino;francesco roncalli parolino;Male;Male;1692;1692;1763;1763;0;51744;51736;non;;none;non;données pauvres ou incohérentes
septimus andreas fabricius;septimus andreas fabricius;Male;Male;1641;1641;1705;1705;0;52576;22087;oui;22087;right;oui;complémentaires
jean deriennes;jean deriennes;Male;Male;1591;1591;1662;1662;0;22620;3561;oui;22620;left;oui;complémentaires
melchior philibert;melchior philibert;Male;Male;1645;1645;1725;1725;0;50271;44231;oui;50271;left;oui;complémentaires
daniel puerari;daniel puerari;Male;Male;1621;1621;1692;1692;0;51855;48090;oui;51855;left;oui;
michel eyquem de montaigne;michel eyquem de montaigne;Male;Male;1533;1533;1592;1592;0;52259;40039;oui;52259;left;oui;complémentaires
daniel le clerc;daniel le clerc;Male;Male;1652;1652;1728;1728;0;52635;4069;oui;4069;right;oui;complémentaires
henricus regius;henricus regius;Male;Male;1598;1598;1679;1679;0;52522;445;oui;52522;left;oui;complémentaires
gerard de vries;gerard de vries;Male;Male;1648;1648;1705;1705;0;52060;3128;oui;3128;right;oui;complémentaires
guillaume catel;guillaume catel;Male;Male;1560;1560;1626;1626;0;47211;41501;oui;41501;right;oui;
guidobaldo monte;guidobaldo monte;Male;Male;1545;1545;1607;1607;0;2983;52303;oui;2983;left;oui;complémentaires
polycarp heyland;polycarp heyland;Male;Male;1651;1651;1702;1702;0;38630;38643;non;;none;oui;
laurent arvieux;laurent arvieux;Male;Male;1635;1635;1702;1702;0;47166;28180;oui;28180;right;oui;
gilbert burnet;gilbert burnet;Male;Male;1643;1643;1715;1715;0;58011;4021;oui;4021;right;oui;complémentaires
robert talbot;robert talbot;Male;Male;1642;1642;1681;1681;0;48122;44759;oui;48122;left;oui;
giuseppe silos;giuseppe silos;Male;Male;1601;1601;1674;1674;0;48112;44753;oui;48112;left;oui;
nicolas cochin;nicolas cochin;Male;Male;1610;1610;1686;1686;0;24225;44746;oui;24225;left;oui;complémentaires
jacques savoie;jacques savoie;Male;Male;1450;1450;1486;1486;0;59668;59810;oui;59810;right;oui;
louis nicolas neuville de villeroy;louis nicolas neufville de villeroy;Male;Male;1663;1663;1734;1734;1;47825;50830;oui;50830;right;oui;
guglielmo grataroli;guglielmo gratarolo;Male;Male;1516;1516;1568;1568;1;50150;820;oui;820;right;oui;complémentaires
felix prudho;felix prudlo;Male;Male;1794;1794;1837;1837;1;55242;55277;non;;none;oui;doute
konrad victor schneider;conrad victor schneider;Male;Male;1614;1614;1680;1680;1;56121;38579;oui;56121;left;oui;complémentaires
william whewell;william wheewell;Male;Male;1794;1794;1866;1866;1;55266;55250;oui;55250;right;oui;
johannes antonides van der linden;joannes antonides van der linden;Male;Male;1609;1609;1664;1664;1;51829;26908;oui;26908;right;oui;complémentaires
ysbrand  diemerbroeck;ysbrand diemerbroeck;Male;Male;1609;1609;1674;1674;1;47230;43235;oui;43235;right;oui;
gustave tuillier;gustave thuillier;Male;Male;1850;1850;1930;1930;1;35900;26020;oui;26020;right;oui;
friedrich khlwein;friedrich khlewein;Male;Male;1606;1606;1663;1663;1;38412;38679;oui;38679;right;oui;
just antoine meillet-montessuy;just, antoine meillet-montessuy;Male;Male;1817;1817;1880;1880;1;12166;5050;oui;12166;left;oui;
elisabeth baillon;elisabeth baillou;Female;Female;1613;1613;1677;1677;1;43475;46113;oui;46113;right;oui;
jean christophe bala;jean-christophe bala;Male;Male;1785;1785;1837;1837;1;46930;43730;oui;46930;left;oui;complémentaires
johann jakob hoffmann;johann jakob hofmann;Male;Male;1635;1635;1706;1706;1;47305;43690;oui;43690;right;oui;
ludovico maracci;ludovico marracci;Male;Male;1612;1612;1700;1700;1;20608;44755;oui;20608;left;oui;complémentaires
paul mathieu auguste maurice chabrieres;paul mathieu auguste maurice chabrires;Male;Male;1829;1829;1897;1897;1;61424;4515;oui;4515;right;oui;complémentaires
ismael bouilliau;ismal boulliau;Male;Male;1605;1605;1694;1694;2;51896;60;oui;60;right;oui;complémentaires
jos fernandez   del toro;jos fernandez del toro;Male;Male;1663;1663;1733;1733;2;56974;47395;oui;56974;left;oui;
juan antonio   llorente;juan antonio llorente;Male;Male;1750;1750;1823;1823;2;56975;47396;oui;56975;left;oui;
adrien marie le jendre;adrien marie legendre;Male;Male;1752;1752;1833;1833;2;54053;54073;non;;none;oui;doute
