"pk_entity";"pk_birth";"date_birth";"pk_death";"date_death"
6490820;7506534;"(1648, 1, 1)";7744242;"(1648, 1, 1)"
6490784;7506501;"(1647, 1, 1)";7744209;"(1647, 1, 1)"
6490788;7506505;"(1647, 7, 22)";7744213;"(1647, 1, 1)"
6490826;7506540;"(1648, 3, 4)";7744248;"(1648, 1, 1)"
6490833;7506546;"(1648, 4, 16)";7744254;"(1648, 1, 1)"
6490851;7506561;"(1648, 10, 31)";7744269;"(1648, 1, 1)"
6490863;7506570;"(1649, 2, 6)";7744278;"(1649, 1, 1)"
6490895;7506599;"(1649, 11, 10)";7744307;"(1649, 1, 1)"
6490902;7506605;"(1649, 11, 30)";7744313;"(1649, 1, 1)"
6490887;7506592;"(1649, 9, 6)";7744300;"(1649, 1, 1)"
6490906;7506608;"(1650, 1, 3)";7744316;"(1650, 1, 1)"
6490911;7506613;"(1650, 2, 22)";7744321;"(1650, 1, 1)"
6490954;7506651;"(1651, 1, 1)";7744359;"(1651, 1, 1)"
6490921;7506622;"(1650, 5, 22)";7744330;"(1650, 1, 1)"
6490956;7506653;"(1651, 1, 14)";7744361;"(1651, 1, 1)"
6490958;7506655;"(1651, 1, 1)";7744363;"(1651, 1, 1)"
6490972;7506668;"(1651, 1, 1)";7744376;"(1651, 1, 1)"
6490983;7506677;"(1651, 6, 17)";7744385;"(1651, 1, 1)"
6490985;7506679;"(1651, 7, 2)";7744387;"(1651, 1, 1)"
6495775;7489284;"(1546, 1, 1)";7726803;"(1533, 1, 1)"
6511467;7490259;"(1668, 1, 1)";7727867;"(1668, 1, 1)"
6541335;7490373;"(1701, 6, 24)";7727984;"(1695, 9, 23)"
6540825;7490659;"(1696, 9, 12)";7728295;"(1639, 1, 20)"
6541689;7491050;"(1636, 1, 1)";7728711;"(1610, 1, 1)"
6485823;7492600;"(1692, 1, 1)";7730326;"(1692, 1, 1)"
6539849;7493295;"(1878, 1, 1)";7731017;"(1878, 1, 1)"
6536289;7496961;"(1884, 8, 31)";7734678;"(1856, 11, 2)"
6485898;7502173;"(1674, 10, 16)";7739880;"(1674, 1, 1)"
