pk_coac,pk_group,uri,begin_of_the_begin,begin_of_the_end,end_of_the_begin,end_of_the_end,ongoing_throughout,at_some_time_within,certainty_comment,date_complement,date_note
CoAc10035,8366787,,,,,,,"(1968, <NA>, <NA>)",,,
CoAc10041,8366582,,,,,,,"(1968, <NA>, <NA>)",,,
CoAc10122,8367031,,,,,,,"(1976, <NA>, <NA>)",,,
CoAc10126,8376521,,,,,,,"(1954, <NA>, <NA>)",,,
CoAc10132,8366972,,,,,,,"(1987, <NA>, <NA>)",,,
CoAc10139,8371291,,,,,,,"(1999, <NA>, <NA>)",,,
CoAc10180,8367592,,,,,,,"(2000, <NA>, <NA>)",,,
CoAc10210,8370415,,"(1927, <NA>, <NA>)",,,,,,,,
CoAc10212,8369856,,"(1882, <NA>, <NA>)",,,,,,,,
CoAc10235,8376470,,,,,,,"(1872, <NA>, <NA>)",,,
CoAc10236,8370956,,,,,,,"(2013, <NA>, <NA>)",,,
CoAc10237,8376988,,,,,,,"(1982, <NA>, <NA>)",,,
CoAc10251,8367588,,,,,,,"(1998, <NA>, <NA>)",,,
CoAc10270,8376757,,,,,,,"(1991, <NA>, <NA>)",,,
CoAc10284,8370864,,"(1899, <NA>, <NA>)",,,,,,,,
CoAc10291,8367207,,,,,,,"(1930, <NA>, <NA>)",,,
CoAc10301,8367480,,,,,,,"(1917, <NA>, <NA>)",,,
CoAc10336,8367201,,,,,,,"(1937, <NA>, <NA>)",,,
CoAc10337,8359413,,"(1892, <NA>, <NA>)",,,,,,,,
CoAc10340,8368573,,,,,,,"(1916, <NA>, <NA>)",,,
CoAc10342,8376906,,"(1936, <NA>, <NA>)",,,,,,,,
CoAc10344,8369968,,"(1899, <NA>, <NA>)",,,,,,,,
CoAc10350,8367186,,,,,,,"(1990, <NA>, <NA>)",,,
CoAc10359,8367182,,,,,,,"(1933, <NA>, <NA>)",,,
CoAc10430,8367067,,,,,,"(1984, <NA>, <NA>)",,,,
CoAc10471,8367199,,,,,,,"(1946, <NA>, <NA>)",,,
CoAc10485,8367557,,,,,,,"(1921, <NA>, <NA>)",,,
CoAc10507,8367583,,,,,,,"(1919, <NA>, <NA>)",,,
CoAc10509,8367255,,,,,,,"(1913, <NA>, <NA>)",,,
CoAc10531,8367118,,,,,,,"(1930, <NA>, <NA>)",,,
CoAc10545,8367254,,,,,,,"(1966, <NA>, <NA>)",,,
CoAc10559,8367599,,,,,,,"(1924, <NA>, <NA>)",,,
CoAc10640,8367126,,,,,,,"(1946, <NA>, <NA>)",,,
CoAc10657,8367598,,,,,,,"(1953, <NA>, <NA>)",,,
CoAc10668,8367453,,,,,,,"(1902, <NA>, <NA>)",,,
CoAc10672,8367477,,,,,,,"(1920, <NA>, <NA>)",,,
CoAc10680,8367143,,,,,,,"(1937, <NA>, <NA>)",,,
CoAc10697,8367173,,,,,,,"(1961, <NA>, <NA>)",,,
CoAc10725,8367104,,,,,,,"(1933, <NA>, <NA>)",,,
CoAc10726,8376519,,,,,,,"(1966, <NA>, <NA>)",,,
CoAc10776,8377113,,,,,,,"(1989, <NA>, <NA>)",,,
CoAc10778,8367096,,,,,,,"(1937, <NA>, <NA>)",,,
CoAc10783,8376762,,,,,,,"(1963, <NA>, <NA>)",,,
CoAc10805,8367115,,,,,,,"(1929, <NA>, <NA>)",,,
CoAc10826,8376442,,,,,,,"(1947, <NA>, <NA>)",,,
CoAc10828,8371557,,"(1924, <NA>, <NA>)",,,,,,,,
CoAc10843,8376770,,,,,,,"(1959, <NA>, <NA>)",,,
CoAc10868,8376734,,,,,,,"(1927, <NA>, <NA>)",,,
CoAc10893,8367102,,,,,,,"(1936, <NA>, <NA>)",,,
CoAc10929,8367535,,,,,,,"(1960, <NA>, <NA>)",Date postulée,,
CoAc10933,8367333,,,,,,,"(1921, <NA>, <NA>)",,,
CoAc10965,8367304,,,,,,,"(1927, <NA>, <NA>)",,,
CoAc11124,8368094,,,,,,,"(1946, <NA>, <NA>)",,,
CoAc11130,8367856,,,,,,,"(1929, <NA>, <NA>)",,,
CoAc11208,8367625,,,,,,,"(1905, <NA>, <NA>)",,,
CoAc11370,8367708,,,,,,,"(1895, <NA>, <NA>)",,,
CoAc11409,8367602,,,,,,,"(1937, <NA>, <NA>)",Date reconstituée,,
CoAc11410,8367862,,,,,,,"(1919, <NA>, <NA>)",,,
CoAc115,8356308,,,,,,,"(1867, <NA>, <NA>)",,,
CoAc11559,6140243,,,,,,,"(1750, <NA>, <NA>)",,,
CoAc11561,8367810,,,,,,,"(1968, <NA>, <NA>)",Date reconstituée,,
CoAc11569,8367941,,,,,,,"(1947, <NA>, <NA>)",,,
CoAc11618,8356515,,,,,,,"(1884, <NA>, <NA>)",,,
CoAc118,8374017,,,,,,,"(1848, <NA>, <NA>)",,,
CoAc11974,8367859,,,,,,,"(1881, <NA>, <NA>)",,,
CoAc11996,8369971,,"(1896, <NA>, <NA>)",,,,,,Date postulée,,
CoAc120,8356321,,,,,,,"(1910, <NA>, <NA>)",,,
CoAc12019,8356231,,,,,,,"(1932, <NA>, <NA>)",,,
CoAc12022,8367704,,,,,,,"(1946, <NA>, <NA>)",,,
CoAc12047,8367978,,,,,,,"(1904, <NA>, <NA>)",,,
CoAc12063,8372527,,,,,,,"(1964, <NA>, <NA>)",,,
CoAc121,8360389,,,,,,,"(1910, <NA>, <NA>)",,,
CoAc12161,8367483,,,,,,,"(1834, <NA>, <NA>)",,,
CoAc12176,8369069,,,,,,,"(1834, <NA>, <NA>)",,,
CoAc12177,8369068,,,,,,,"(1809, <NA>, <NA>)",,,
CoAc12179,8369332,,,,,,,"(1844, <NA>, <NA>)",,,
CoAc122,8360390,,,,,,,"(1910, <NA>, <NA>)",,,
CoAc123,8368728,,,,,,,"(1910, <NA>, <NA>)",,,
CoAc12363,8369024,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12364,8366630,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12366,8368835,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12367,8369196,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12368,8367620,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12369,8369313,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12370,8368920,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12371,8368861,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12372,8369156,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12386,8369109,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12392,8369335,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12393,8368953,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12394,8369210,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12396,8369039,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12397,8369119,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc124,8360391,,,,,,,"(1910, <NA>, <NA>)",,,
CoAc12400,8368825,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12403,8369284,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12404,8369274,,,,,,,"(1767, <NA>, <NA>)",,,
CoAc12419,81908,,,,,,,"(1793, <NA>, <NA>)",,,
CoAc12456,8369054,,,,,,,"(1794, <NA>, <NA>)",,,
CoAc12458,8369129,,,,,,,"(1791, <NA>, <NA>)",,,
CoAc12462,8368789,,,,,,,"(1790, <NA>, <NA>)",,,
CoAc12485,8368988,,,,,,,"(1792, <NA>, <NA>)",,,
CoAc12486,8368827,,,,,,,"(1792, <NA>, <NA>)",,,
