pk_coac,pk_group,uri,begin_of_the_begin,begin_of_the_end,end_of_the_begin,end_of_the_end,ongoing_throughout,at_some_time_within,certainty_comment,date_complement,date_note
CoAc10000,8366930,,,,,,,"(1926, <NA>, <NA>)",,,
CoAc10003,8366703,,,,,,,"(1907, <NA>, <NA>)",,,
CoAc10007,8366858,,,,,,,"(1854, <NA>, <NA>)",,,
CoAc10008,8366583,,,,,,,"(1896, <NA>, <NA>)",,,
CoAc10009,8366690,,,,,,,"(1944, <NA>, <NA>)",,,
CoAc10017,8366466,,,,,,,"(1922, <NA>, <NA>)",,,
CoAc10022,8366515,,,,,,,"(1926, <NA>, <NA>)",,,
CoAc10023,8366601,,,,,,,"(1871, <NA>, <NA>)",,,
CoAc10027,8366711,,,,,,,"(1880, <NA>, <NA>)",,,
CoAc10029,8366849,,,,,,,"(1855, <NA>, <NA>)",,,
CoAc10031,8366740,,,,,,,"(1912, <NA>, <NA>)",,,
CoAc10032,8366743,,,,,,,"(1872, <NA>, <NA>)",,,
CoAc10033,8366533,,,,,,,"(1883, <NA>, <NA>)",,,
CoAc10035,8366787,,,,,,,"(1818, <NA>, <NA>)",,,
CoAc10037,8366537,,,,,,,"(1827, <NA>, <NA>)",,,
CoAc10038,8366615,,,,,,,"(1905, <NA>, <NA>)",,,
CoAc10040,8366588,,,,,,,"(1850, <NA>, <NA>)",,,
CoAc10041,8366582,,,,,,,"(1819, <NA>, <NA>)",,,
CoAc10052,8366686,,,,,,,"(1945, <NA>, <NA>)",,,
CoAc10053,8366851,,,,,,,"(1937, <NA>, <NA>)",,,
CoAc10059,8377550,,,,,,,"(1892, <NA>, <NA>)",,,
CoAc10063,8366763,,,,,,,"(1946, <NA>, <NA>)",,,
CoAc10064,8366612,,,,,,,"(1802, <NA>, <NA>)",,,
CoAc10065,8366942,,,,,,,"(1926, <NA>, <NA>)",,,
CoAc10066,8366793,,,,,,,"(1938, <NA>, <NA>)",,,
CoAc10071,8366505,,,,,,,"(1741, <NA>, <NA>)",,,
CoAc10078,8366655,,,,,,,"(1844, <NA>, <NA>)",,,
CoAc10081,8367176,,,,,,,"(1924, <NA>, <NA>)",,,
CoAc10082,8367286,,,,,,,"(1922, <NA>, <NA>)",,,
CoAc10092,8367079,,,,,,,"(1930, <NA>, <NA>)",,,
CoAc10099,8376382,,,,,,"(1900, <NA>, <NA>)",,,,
CoAc10103,8367135,,,,,,,"(1945, <NA>, <NA>)",,,
CoAc10105,8367300,,,,,,,"(1943, <NA>, <NA>)",,,
CoAc10107,8367519,,,,,,,"(1920, <NA>, <NA>)",,,
